26927	34252	69	5
26927	61394	15	2
16706	3559	3	4
3132	50423	91	0
62521	24719	56	5
78194	76238	10	4
39430	40570	69	5
58457	50343	79	0
90175	55073	99	0
12442	72650	31	4
20848	32284	58	0
31337	37287	10	0
10315	68806	69	0
10315	34685	69	3
17458	51851	48	0
31573	4988	2	0
48290	3617	79	0
53317	29470	26	3
62117	41722	62	6
23724	17399	9	0
23724	38799	9	1
19593	49134	48	0
65471	39091	9	3
86632	6072	29	0
86632	62600	24	0
32399	14888	69	0
28766	47813	54	0
51383	37543	24	0
95807	21513	7	0
54849	41619	43	0
54849	47896	43	0
16665	72650	31	4
72352	16134	64	0
74591	28393	56	0
91913	39159	99	0
17050	23010	56	3
102335	7721	40	0
89650	49413	6	0
8464	62777	38	0
13992	28888	48	0
65609	67639	59	0
88015	10562	82	0
103487	16153	10	0
92575	75265	56	0
101116	69506	83	0
105140	50343	79	0
99272	37108	75	0
54370	46881	76	0
61862	65639	48	4
45770	75103	30	0
34543	9096	26	0
21448	76744	70	0
92604	49630	87	0
22613	33826	10	0
25624	41273	72	12
25624	38076	72	6
25624	66230	72	4
50591	28848	82	0
50591	55778	23	0
33470	22037	69	0
27647	61147	53	1
27647	43110	53	0
102534	20748	59	5
4345	43384	11	0
4345	17803	29	0
4345	9776	7	2
59035	28551	77	0
82984	28747	79	2
53576	32127	71	0
91167	21595	92	0
7820	59852	24	0
7820	1661	69	3
59654	59267	91	0
16088	62777	38	0
44279	3600	91	2
1568	49413	6	0
49461	30701	71	0
53516	61130	19	0
53516	73785	19	0
72123	9894	10	0
72123	38213	31	0
72123	35022	33	3
73358	74625	26	0
9939	21009	21	7
98461	28826	5	0
77378	47995	69	0
83517	30824	27	0
74334	76960	91	0
14244	12524	88	0
8592	55019	51	2
64121	43727	24	0
14472	73315	30	0
39110	5364	35	8
18347	46818	64	0
101297	49561	85	0
47042	29312	71	6
58016	56110	29	4
71307	1619	35	6
23663	20227	91	0
23873	76708	69	0
13156	62763	7	0
105262	54524	17	0
92643	69870	13	0
23528	73432	10	0
89254	72394	74	0
59696	10518	38	11
69856	71674	96	0
46571	5571	11	0
51739	50953	48	9
19925	44498	6	10
40149	58654	48	0
93885	62477	54	0
96737	55286	41	3
44983	4122	48	0
65639	68813	54	0
53596	2271	9	0
80537	59489	27	0
894	29648	87	0
96715	75055	0	0
24277	55682	29	0
65781	21513	7	0
71946	19129	82	0
53508	9109	62	2
53508	19383	25	0
84558	29440	59	0
13742	76125	82	2
55708	35979	21	0
36072	34112	29	0
1472	72795	90	0
73564	20249	23	3
73564	2192	42	0
95365	74266	57	0
95365	5585	21	4
95365	21414	99	5
75004	8850	26	6
39161	16493	11	3
39161	74183	91	0
80566	12672	69	0
103610	38525	89	2
103610	2580	89	0
103610	19215	89	0
82817	63010	92	0
56516	2314	26	5
81439	32954	26	7
93893	37743	23	0
50767	72400	69	4
80463	45558	10	0
83225	1599	53	0
40759	43179	76	0
